,jaso
81,ㅂㅡㄹㅣㅅㅡㄷㅗㅈㅏㅇㄲㅐㄱㅣㅋㅡㄹㄹㅣㅇㅓ
82,ㄴㅓㄴㅐㄷㅗㅇㄹㅛㄱㅏㄷㅚㄹㅏㅎㅏㅇㅎㅐㅅㅏㅇㅛㄹㅣㅅㅏㅇㅡㅁㅇㅏㄱㄱㅏㄷㅡㅇㄷㅡㅇㅁㅕㅇㅇㅢㄷㅗㅇㄹㅛㄹㅡㄹㄱㅜㅎㅏㅂㄴㅣㄷㅏㅋㅡㄴㄴㅑㅇㅇㅣㄴㅡㄴㅎㅐㅈㅓㄱㅇㅘㅇㅇㅣㄷㅚㄹㅇㅕㅈㅏㄷㅏ
83,ㅈㅗㄴㄴㅏㅅㅣㄴㄴㅏㄴㄷㅏㄹㅗㅁㅐㄴㅌㅣㄱㅍㅓㄴㅊㅣㅇㅣㅂㅏㅁㅇㅣㅈㅣㄴㅏㅁㅕㄴ
84,ㅁㅏㄹㄹㅏㅇㅁㅏㄹㄹㅏㅇ
85,ㅎㅔㅌㅐㄹㅗㅂㅜㅂㅜㄱㅏㅅㅏㅇㅣㅈㅗㅎㄱㅔㅋㅐㄹㅗㄹㅂㅗㄹㅓㅇㅘㅆㅇㅡㅁ
86,ㅌㅡㅇㅟㅌㅓㄷㅗㅌㅚㄱㅗㅍㅣㄹㅅㅜㅇㅣㄴㄷㅔㄴㅏㄴㅌㅚㄱㅗㄱㅏㄱㅡㄹㅣㅅㅣㄹㅎㄷㅓㄹㅏ
87,ㅈㅓㄴㅂㅗㅅㄷㅐㅇㅟㅇㅔㅅㅓㄴㅏㅌㅏㄴㅏㅁㅕㄴㅅㅓㄴㅜㄴㅍㅏㄹㅐㅈㅣㄱㅣㅇㅏㄴㄴㅕㅇㅈㅓㅇㅎㅜㄴㅇㅗㅃㅏ
88,ㄱㅡㅊㅛㄱㅡㄹㅓㅁㄴㅜㄱㅜㄹㅡㄹㅇㅣㅂㅎㅕㅂㅗㅈㅣ
89,ㅁㅏㄱㅑㄹㅏㅇㄴㅐㄹㅏㅇㅇㅡㄴㄱㅛㅈㅓㄴㅈㅜㅇㅇㅏㅇㅣㄷㅓㄴㄱㅏㄱㅑㄷㅡㄹㅇㅛㄹㅐㅎㅏㄱㅇㅝㄴㄷㅗㅅㅣㅇㅗㄴㅊㅓㅅㄴㅏㄹㅇㅡㄹㅇㅣㅈㅇㅡㄴㄱㅓㄴㄱㅏㅆㅣㅇㅣㄱㅇㅣㅇㅑㅇㅓㄹㄹㅏㄱㅜㅁㅏㄴㅁㅜㄹㄹㅓㅌㅓㅈㅕㅆㅇㅓ
90,ㅎㅓㄱ
91,ㅇㅡㄴㅇㅜㅇㅗㅃㅏㅅㅜㅅㅏㅇㅈㅣㄴㅉㅏㄴㅓㅁㅜㅊㅜㄱㅎㅏㅎㅏㄱㅗㅇㅏㅍㅇㅡㄹㅗㄷㅓㅁㅓㅅㅇㅣㅆㄴㅡㄴㅂㅐㅇㅜㄹㅗㅅㅓㅇㅢㅊㅏㅇㅡㄴㅇㅜㅁㅗㅅㅡㅂㅇㅡㄹㄱㅣㄷㅐㅎㅏㄱㅔㅆㅅㅡㅂㄴㅣㄷㅏㅇㅏㅅㅡㅌㅡㄹㅗㅎㅘㅇㅣㅌㅣㅇㅊㅏㅇㅡㄴㅇㅜㅎㅘㅇㅣㅌㅣㅇ
92,ㅇㅖㅅㅜㄲㅔㅅㅓㅁㅏㄹㅆㅡㅁㅎㅏㅅㅣㄱㅣㄹㄴㅓㅇㅢㅅㅗㄱㄱㅜㄱㅏㅇㅓㄷㅇㅓㅁㅏㅈㅇㅡㅁㅕㄴㅂㅕㄴㅎㅘㄱㅜㄷㅗㅇㅓㄷㅇㅓㅁㅏㅈㅇㅏㅈㅝㄹㅏ
93,ㅇㅕㅇㅅㅏㅇㅈㅓㄴㅂㅗㅂㅓㄹㄹㅔㅂㅏㄹㄱㅕㄴㅇㅑㄱㅅㅗㄱㅇㅢㄸㅏㅇㅇㅔㅅㅓㄱㅣㄷㅏㄹㅣㄴㅡㄴㄱㅓㄷㅐㅎㅏㄴㄱㅗㄹㅐㄹㅡㄹㅁㅏㄴㄴㅏㅆㅅㅡㅂㄴㅣㄷㅏㅌㅡㄹㅔㅋㅡㄹㅜ
94,ㅎㅓㄹㅅㅜㅁㅕㄴㅂㅜㅈㅗㄱㅇㅣㅁㅕㄴㅇㅣㄹㅉㅣㄱㅈㅜㄱㄴㅡㄴㄷㅔ
95,ㅌㅡㅇㅟㅌㅓㄹㅏㅇㅇㅏㄹㅋㅗㅇㄷㅏㄹㅋㅗㅇㅊㅏㅁㅈㅗㅎㅅㅡㅁㄷㅏㅇㅂㅏㄴㅇㅓㅂㅏㄴㅇㅓ
96,ㅇㅠㄴㄷㅗㅎㅕㄴㄹㅘㄱ
97,ㅂㅜㄹㅌㅡㄱㅈㅓㅇㄷㅏㅅㅜㄱㅣㄴㅎㅏㅈㅣㅁㅏㄴㅎㅕㅁㄷㅓㄱㅇㅣㅇㅗㄷㅓㄱㅇㅣㄷㅚㄱㅗㅇㅗㄷㅓㄱㅇㅣㅎㅕㅁㄷㅓㄱㅇㅣㄷㅚㄴㅡㄴㄴㅗㄹㄹㅏㅇㅜㄴㅎㅕㄴㅅㅏㅇㅇㅣㄴㅔㅇㅛㅇㅣㄱㅓㅅㅇㅣㅇㅗㄷㅓㄱㅂㅗㅈㅗㄴㅇㅢㅂㅓㅂㅊㅣㄱ
98,ㅆㅣㅂㅇㅡㅅㅔㅇㅛㅎㅓㅎㅓㅈㅓㄴㄲㅡㅌㄲㅏㅈㅣㅆㅣㅂㄴㅡㄴ
99,ㄷㅓㅅㅛㄴㅓㅎㅏㄴㅌㅔㄴㅡㄴㅊㅣㄴㄱㅜㄴㅐㄱㅔㄴㅂㅏㄹㅏㅁㅇㅡㄹㅍㅣㅇㅜㄹㅅㅜㅇㅣㅆㄴㅡㄴㅂㅜㄹㅇㅏㄴㅎㅏㄴㅈㅗㅇㅈㅏㄷㅡㄹㅇㅣㄹㅃㅜㄴㄸㅗㄷㅏㄹㅡㄴㅅㅣㄹㅅㅜㄴㅣㄱㅏㅎㅏㅁㅕㄴㄴㅐㄱㅏㅎㅏㅁㅕㄴ
100,ㅈㅣㄴㅁㅣㄴㅇㅢㄷㅡㅇㅉㅏㄱㅇㅡㄹㅇㅗㄴㄴㅜㄹㅣㅇㅔㅎㅏㅁㅈㅓㅇㅋㅏㄷㅡㅇㅏㅁㅜㄷㅗㅇㅏㄴㅁㅏㄹㄹㅕㅅㅓㅇㅓㄴㅈㅔㄱㅡㅁㅏㄴㄷㅝㅇㅑㅎㅏㄴㅡㄴㅈㅣㅁㅗㄹㅡㄱㅔㅆㅅㅡㅂㄴㅣㄷㅏㅈㅣㄴㅁㅣㄴ
101,ㄱㅡㄹㅓㅎㄱㅔㅅㅈㅗㅇㅕㄱㅅㅣㅎㅏㄴㄱㅏㅇㅇㅣㅂㅜㄹㄷㅓㅍㄱㅗㄴㅜㅂㄴㅡㄴㄱㅔ
102,ㅂㅜㄹㅋㅙㅎㅐㅇㅛ
103,ㅎㅓㄱㅎㅗㄱㅎㅏㄱㄷㅡㄷㅣㅇㅓㅇㅗㄴㅡㄹㅂㅏㅁㄷㅏㅇㅈㅏㅇㅅㅏㅇㅑㄱㅔㅅㅇㅓㅇㅛㅇㅏㅇㅏㅇㅏㅋㅏㅈㅣㄴㅅㅡㅋㅣㄱㅣㄷㅏㄹㅕ
104,ㅇㅜㅇㄴㅏㅂㅜㄹㄹㅓㅆㅓ
105,ㅊㅣㅁㅕㅇㅈㅓㄱㅇㅣㄴㄴㅏㅁㅇㅜㄹㅏ
106,ㅇㅏㅋㅏㅇㅣㄷㅐㅊㅔㅈㅗㅎㅇㅏㅎㅏㄴㅡㄴㅅㅜㄹㅇㅣㅇㅙㅂㅓㅂㅓㄴㅇㅣㄴㄱㅓㅈㅣㄷㅐㄷㅏㅂㅎㅐㅂㅘㅇㅛㅇㅏㅁㅜㄹㅗㅇㅔㄱㅔㅈㅣㄴㅅㅣㄹㄷㅗㄷㅓㅍㅇㅓㄷㅜㄱㅗㅅㅏㄹㅏㅇㅇㅣㄴㄱㅏ
107,ㅎㅣㅇㅣㄱㅇㅐㄱㅎㅘㅈㅣㄹㅅㅗㄹㅗㄱㅡㅂㅅㅗㄱㄴㅐㅇㄷㅗㅇ
108,ㅇㅣㅈㅐㅁㅕㅇㅅㅣㄴㅊㅔㄷㅗㅇㅏㅂㅅㅜㅅㅜㅅㅐㄱㄷㅐㅅㅏㅇㄱㅕㅇㅊㅏㄹㅈㅓㅁㄸㅐㅁㅜㄴㅇㅏㄴㅑㅅㅗㄱㅂㅗ
109,ㅅㅣㅁㅇㅕㄴㅇㅣㅇㅛㅂㅏㄷㅏ
110,ㅇㅏㅇㅣㅅㅂㅏㅇㅗㄴㅡㄴㄷㅏㅇㄱㅡㄴㅈㅏㄹㅁㅓㄱㄴㅡㄴㄷㅔㅇㅛㅎㅏㄴㅇㅣㄷㅟㅇㅔㄷㅏㅇㄱㅡㄴㅁㅓㄱㅇㅕㅈㅜㅁㅕㄴㅅㅣㅁㅅㅜㄹㅂㅗㅌㅓㅈㅕㅇㅛㅃㅣㄸㅜㄹㅇㅓㅈㅕㅂㅓㄹㅕㅂㅏㅇㅗㄹㅗㅈㅣㄴㅡㄴㅇㅣㅂㅇㅡㄹㅗㄷㅗㅇㅏㄴㅁㅓㄱㅇㅡㅁㅕㄴㅅㅓㄴㅐㅂㅘㄹㅏㅇㅓㄴㅈㅔㄴㄱㅏㅂㅗㄱㅅㅜㅎㅏㄹㅣㄹㅏㅌㅓㅈㅣㄴㅇㅣㅂㅇㅜㄹㅣㅅㅏㅇㅣㅈㅗㅋㅔㅂㅓㄴㄱㅏㄹㅇㅓㅁㅓㄱㅈㅏㅇㅜㄹㅣㅅㅗㄲㅜㅂㅊㅣㄴㄱㅜㅈㅏㄴㅏ
111,ㅇㅏㅇㅣㅍㅐㄷㅡㄹㅗㄱㅡㄹㅣㅁㄱㅡㄹㅣㄴㅡㄴㅇㅓㅍㅡㄹㄷㅏㅇㅜㄴㅂㅏㄷㅇㅡㅁㅕㄴㅇㅙㄴㅈㅣㄱㅡㄹㅣㅁㅇㅓㅁㅊㅓㅇㅈㅏㄹㄱㅡㄹㅣㄹㄱㅓㄱㅏㅌㄷㅏ
112,ㅊㅏㅁㄱㅏㅁㅅㅏㅎㅏㄴㅔ
113,ㅁㅗㅇㅑㄱㅏㅌㅇㅣㅂㅗㅈㅏㅇㅜㄹㅣㅎㅚㅅㅏㄹㅗㅈㅗㅁㅇㅘㅈㅝ
114,ㅈㅏㅁㅐㄴㅣㅁㅇㅖㅅㅜㅁㅣㄷㅇㅡㅅㅔㅇㅛㅇㅖㅅㅜㅁㅣㄷㄱㅗㅊㅓㄴㄱㅜㄱㄱㅏㅅㅔㅇㅛ
115,ㅎㅏㄴㄱㅜㄱㅅㅏㄹㅏㅁㅇㅢㅇㅏㄴㅣㅇㅑㄱㅡㄱㅓㅅㅇㅡㄴㅅㅏㅅㅣㄹㅇㅣㅇㅑㅈㅣㄴㅉㅏ
116,ㅁㅜㅍㅛㅇㅕㅇㅎㅘㅇㅓㄴㅈㅔㄴㅏㅊㅚㅅㅣㄴㅍㅏㅇㅣㄹㅇㅠㅈㅣ
117,ㅎㅏㄱㄱㅛㄱㅠㅈㅓㅇㅇㅣㄹㅏㅇㅓㅉㅓㄹㅅㅜㄱㅏㅇㅓㅂㅅㅇㅓㅋㅎㅏㅂㅗㄱㄷㅗㄱㅓㅂㄴㅏㄱㅔㅇㅣㅃㅡㅁ
118,ㅎㅓㄱ
119,ㅇㅓㅋㄱㅡㄹㅓㄱㅔㅇㅕㅋㅇㅕㄱㅅㅣㅋㅡㄹㄹㅗㄴㅇㅣㄹㅈㅣㄷㅗㅇㅛ
120,ㅊㅡㅇㅎㅏㄱㅗㄴㅏㄴㅎㅜㅂㅜㅌㅓㄷㅣㄹㄹㅓㅈㅓㅂㅇㅡㄹㄲㅏㅈㅣㄴㅉㅏㅈㅣㄴㅈㅣㅎㅏㄱㅔㄱㅗㅁㅣㄴㅈㅜㅇㅇㅣㅇㅖㅇㅛㅇㅡㅎㅡㄱㅎㅡㄱ
121,ㄱㅡㄹㅓㅁㅊㅏㄹㅏㄹㅣㅂㅐㄱㅂㅏㄹㅇㅡㄴㅇㅓㄸㅐㅇㅛㅁㅏㅈㅇㅏㅇㅛㄱㅡㄸㅐㄷㅗㅅㅔㄱㅐㅇㅗㄴㅡㄹㅂㅜㅌㅓㄷㅗㅅㅔㄱㅐㅇㅏㅎㅐㅇㅂㅗㄱㅎㅐㄹㅏ
122,ㄱㅓㄴㅈㅣㅁㅕㄴㄴㅐㄲㅓㄷㅏㅇㄱㅕㄹㅏㄱㅓㄴㅈㅣㅁㅕㄴㄴㅐㄲㅓㅇㅗㄹㄹㅕㄹㅏㄱㅓㄴㅈㅣㅁㅕㄴㄴㅐㄲㅓㄲㅓㄴㅐㄹㅏㄱㅓㄴㅈㅣㅁㅕㄴㄴㅐㄲㅓㄱㅓㄴㅈㅣㅁㅕㄴㄴㅐㄲㅓㄷㅏㅇㄱㅕㄹㅏㄱㅓㄴㅈㅣㅁㅕㄴㄴㅐㄲㅓㅇㅗㄹㄹㅕㄹㅏㄱㅓㄴㅈㅣㅁㅕㄴㄴㅐㄲㅓㄲㅓㄴㅐㄹㅏㄱㅓㄴㅈㅣㅁㅕㄴㄴㅐㄲㅓㄱㅓㄴㅈㅣㅁㅕㄴㄴㅐㄲㅓㄱㅓㄴㅈㅣㅁㅕㄴㄴㅐㄲㅓ
123,ㄷㅗㄱㄱㅗㄹㅣㅇㅘㅇㅣㄴㄷㅡㅎㅘㄴㅈㅏㅂㅗㄱㅇㅣㅂㅇㅓㄷㅗㅂㅣㅊㅇㅣㄴㅏㄴㅡㄴㅁㅣㄴㅏ
124,ㄴㅡㅈㅈㅏㅁㄴㅣㅁㄱㅏㅁㅅㅏㅎㅏㅂㄴㅣㄷㅏㅇㅣㅇㅑㅇㅏㅅㅣㄲㅏㅈㅣㅁㅓㄱㄱㅗㅊㅓㄴㅊㅓㄴㅎㅣㅈㅜㄴㅂㅣㅎㅏㅁㅕㄴㄷㅚㄱㅔㅆㄷㅏㅅㅣㅂㅜㄴㅇㅔㅁㅏㄴㄴㅏㅅㅓㄱㅏㄹㄹㅐ
125,ㅇㅏㅇㅗㄴㅡㄹㅇㅑㄱㅅㅗㄱㅊㅟㅅㅗㅎㅏㄱㅗㅅㅔㅎㅜㄴㅂㅗㄹㅓㄱㅏㄱㅗㅅㅣㅍㄷㅏ
126,ㄷㅗㅇㅜㅁㅣㅇㅣㅂㄴㅣㄷㅏㅊㅜㅇㅝㅇㅛ
127,ㅌㅡㄱㅅㅜㄴㅡㅇㄹㅕㄱㅇㅡㄹㅂㅏㄷㄱㅗㅈㅗㅇㅈㅗㄱㅇㅢㅉㅗㄱㅍㅏㄹㄹㅣㅁㅇㅡㄹㅂㅏㄷㅇㅏㅆㄷㅏ
128,ㅇㅏㅃㅏㅋㅡㄴㅇㅏㄷㅡㄹㅁㅏㄱㄴㅐㅇㅏㄷㅡㄹㅇㅓㅁㅁㅏ
129,ㅇㅣㅅㅔㅅㅏㅇㅇㅔㄴㅇㅏㄱㄱㅘㅈㅓㅇㅇㅢㅂㅏㄲㅇㅔㅇㅓㅂㅅㄷㅏ
130,ㅇㅕㅇㅅㅏㅇㅈㅓㄴㅂㅗㅂㅓㄹㄹㅔㄹㅡㄹㅂㅜㅌㅈㅏㅂㅇㅏㅆㅅㅡㅂㄴㅣㄷㅏㄹㅜㅍㅣㅇㅢㄱㅗㅁㅜㄱㅗㅁㅜㅎㅚㅅㅐㄱㄱㅗㅁㅊㅗㅇㅇㅣㄷㅡㄷㅣㅇㅓㅅㅣㅈㅓㅇㅔㄱㅔㅈㅏㄱㄹㅕㄹㄱㅗㅁㅜㄱㅗㅁㅜㅎㅚㅅㅐㄱㄱㅗㅁㅊㅗㅇㅌㅡㄹㅔㅋㅡㄹㅜ
131,ㅅㅗㄱㅊㅗㄱㅏㅅㅕㅆㄴㅏㅇㅛ
132,ㄴㅔㄴㅐㅇㅣㄹㅂㅜㅌㅓㅇㅗㅍㅡㄴㄹㅓㄴㅇㅣㄹㅏㄷㅓㄹㅏㄱㅜㅇㅛ
133,ㅈㅓㅎㅢㅎㅐㅊㅔㄱㅏㅌㅇㅡㄴㄱㅓㅇㅏㄴㅎㅐㅇㅛㅁㅏㄴㅇㅑㄱㅎㅏㅁㅕㄴㅈㅓㅎㅢㄸㅐㄹㅕㅈㅜㄱㅇㅣㅅㅔㅇㅛㅇㅠㄴㅎㅗ
134,ㄱㅡㄹㅓㄹㄷㅡㅅㅎㅏㄴㄷㅔ
135,ㄷㅗㅇㅇㅕㅇㅅㅏㅇㅇㅔㅈㅗㅎㅇㅏㅇㅛㅍㅛㅅㅣㄹㅡㄹ
136,ㅁㅝㅇㅗㄴㅡㄹㄷㅗㅎㅣㅁㄴㅐㅉㅜㄱㅉㅜㄱㄱㅣㅈㅣㄱㅐㅋㅣㄱㅗㅇㅣㅎㅐㅁㅗㅅㅎㅏㄴㅡㄴㅅㅜㅇㅓㅂㄷㅡㄹㅇㅡㄹㅓㄱㅏㄴㄷㅏ
137,ㅇㅏㅇㅜㅈㅏㅇㅅㅡㅇㄷㅓㄱㅇㅏㅅㅡㅇㅇㅔㄱㅅㅇㅓㄷㅣㅅㅇㅓ
138,ㅉㅏㅁㅂㅏㅂ
139,ㄷㅓㅅㅛㄱㅏㅅㅅㅔㅂㅡㄴㄴㅣㄱㅏㅎㅏㅁㅕㄴㄷㅏㅁㅏㅈㄴㅡㄴㅁㅏㄹㅇㅣㄷㅙ
140,ㅇㅣㄹㅈㅓㅇㄷㅗㅁㅗㅅㅂㅘㅆㅈㅣㄲㅗㅁㅐㅇㅇㅏ
141,ㅇㅢㄷㅗㅊㅣㅇㅏㄴㅎㅇㅡㄴㅈㅓㅇㅢㄱㅏㄷㅚㅅㅕㅆㄱㅜㄴㅇㅛ
142,ㄷㅏㄲㅜㅁㄱㅏㅌㅇㅏㅇㅑㄱㄱㅏㄴㄱㅡㄹㅓㄹㄹㅣㅇㅓㅂㅅㅇㅡㄹㄱㅓㄱㅏㅌㄱㅗㅅㅣㄹㄱㅏㅁㅇㅣㅇㅏㄴㄴㅏㄴㅔㄱㅡㄹㅐㄷㅗㅂㅏㄲㅟㄴㅡㄴㄱㅓㄴㅇㅓㅂㅅㅇㅓㅆㅇㅡㅁㅕㄴㅈㅗㅎㄱㅔㅆㄴㅡㄴㄷㅔ
143,ㅇㅓㅈㅔㅎㅔㅅㅔㄷㅡㅅㅡㅌㅗㄹㅣㅋㅐㅂㅊㅕㅎㅐㄷㅜㄴㄱㅓㄷㅏㅅㅣㄱㅗㅂㅆㅣㅂㄷㅏㄱㅏㅎㅔㅅㅔㄷㅡㄱㅏㄱㅔㅂㅜㄹㅏㅇㅔㄷㅐㅎㅐㅇㅒㄱㅣㅎㅏㄴㅡㄴㄱㅓㅇㅔㅆㅏㅇㄷㅜㅇㅇㅣㄹㅏㄴㅡㄴㅇㅓㄴㄱㅡㅂㅇㅣㅆㅇㅓㅅㅓㅇㅓㅅㄱㅡㄹㅓㅁㅕㄴㅈㅜㅇㅊㅡㅇㅇㅡㄴㅌㅣㅍㅔㄹㅣㅌㅡㄱㅔㅂㅜㄹㅏㅎㅔㅅㅔㄷㅡㅇㅣㄹㅓㅎㄱㅔㅆㅏㅇㄷㅜㅇㅇㅣㄱㅐㅊㅔㄷㅜㅆㅏㅇㅇㅡㄹㅗㅇㅣㄹㅜㅇㅓㅈㅕㅇㅣㅆㄴㅡㄴㄱㅓㄴㄱㅏㅅㅣㅍㅇㅓㅈㅣㅁ
144,ㅋㅓㅁㅂㅐㄱㄷㅓㅅㅛㄴㅣㄱㅏㅎㅏㅁㅕㄴㄱㅏㅅㅅㅔㅂㅡㄴㅠ
145,ㅌㅗㄷㅏㄱㅌㅗㄷㅏㄱㅈㅗㅎㅇㅡㄴㅇㅏㅊㅣㅁㅇㅣㅇㅑㄱㅡㅊㅣ
146,ㅈㅗㅎㅇㅡㄴㅅㅗㅅㅣㄱㅈㅗㅁㄸㅓㄹㅏ
147,ㅇㅏㅂㅜㅇㅇㅓㅃㅏㅇㅅㅏㄱㅗㅅㅣㅍㄷㅏ
148,ㅇㅗㅅㄱㅏㄹㅇㅏㅇㅣㅂㄱㅗㅇㅣㅆㅇㅡㅁㅕㄴㅇㅓㅉㅓㄱㅔㄱㅡㄱㅓㄴㅍㅜㅅㅍㅜㅅㅎㅏㄴㅊㅗㅎㅜㄴㄴㅏㅁㄴㅏㅁㄱㅗㅅㅐㅇㅎㅏㄴㅌㅔㄷㅗㅂㅗㅇㅕㅈㅜㄱㅣㅅㅣㄹㅎㅇㅡㄴㄱㅓㅇㅑㄷㅓㄷㅓㄱㅜㄴㄷㅏㄴㅏㅅㅣㅋㅓㅁㅕㄴㄷㅐㅂㅐㄱㅅㅜㅇㅏㅈㅓㅆㅣㅎㅏㄴㅌㅔㄴㄷㅓㅅㅣㄹㅎㄷㅏㄱㅗ
149,ㅋㅐㅉㅏㅇㅑㅎㅏㄴㅡㄴㄷㅔㄱㅟㅊㅏㄴㅎㅇㅡㄴㅣㄲㅏㅇㅗㄴㅓㅋㅐㄱㅡㄹㅣㄷㅓㄴㄱㅓㅁㅏㅈㅓㄱㅡㄹㅑㅇㅑㅈㅣㅇㅣㄹㅓㅁㅕㄴㅇㅏㄴㄷㅚㅁ
150,ㅁㅗㄴㅣㅌㅓㄹㅡㄹㄲㅡㄹㅇㅓㅇㅏㄴㄴㅡㄴㄷㅏ
151,ㅇㅗㄴㅡㄹㅇㅡㄴㅈㅣㄴㅉㅏㅁㅣㅌㅣㅇㅁㅏㄴㄲㅡㅌㄴㅏㅁㅕㄴㅇㅣㄹㅇㅏㄴㅎㅏㄱㅗㅅㅣㅍㄷㅏㄱㅡㅊㅣㅁㅏㄴㅎㅐㅇㅑㄱㅔㅆㅈㅣㅊㅕㅁㅣㄹㄹㅣㄴㄱㅔㅇㅣㅅㅇㅡㄴㅣㄲㅏ
152,ㅇㅐㅇㅣㄴㄴㅣㅁㅇㅣㅈㅏㅁㅇㅡㄹㅁㅗㅅㅈㅏㅅㅓㅇㅣㅅㅏㅇㅎㅏㄷㅏㄴㅏㄴㅡㄴㅇㅓㄷㅣㅇㅕㄱㅣㄴㄴㅜㄱㅜㄹㅏㄱㅗㅎㅐㅆㄷㅏ
153,ㅈㅣㅅㅣㅈㅏㅇㅏㅍㅓ
154,ㅇㅠㄴㅂㅏㄹㅈㅏㅇㅇㅣㅂㅐㄱㅗㅍㅏㅅㅓㅊㅗㅅㄷㅐㅎㅜㅁㅊㅕㅆㄱㅜㄴㅏ
155,ㅎㅔㅎㅔㅈㅗㅎㅇㅡㄴㅇㅏㅊㅣㅁㅇㅣㅇㅔㅇㅛㅂㅏㅂㅁㅓㄱㄱㅗㅈㅏㅁㄲㅐㅁ
156,ㄷㅐㅂㅜㄷㅗㅍㅐㄴㅅㅕㄴㅅㅣㅌㅣㅁㅗㄹㅋㅏㅊㅏㄱㅋㅏㅋㅗㄴㅅㅓㅌㅡㄱㅣㅁㅈㅜㄴㅅㅜㅅㅣㅇㅏㅈㅜㄴㅅㅜㅈㅏㄲㅜㄴㅜㄴㅇㅣㅁㅏㅈㅜㅊㅣㄴㅡㄴㄱㅓㄱㅏㅌㅇㅏㅇㅛ
157,ㅇㅗㅁㅏㅊㅅㅏㅇㅂㅓㄴㅣㅇㅎㅏㄹㄱㅓㅅㄱㅏㅌㅇㅡㄴㄷㅔ
158,ㅇㅕㄴㅎㅟㄴㅣㅁㅇㅡㄴㅇㅛ
159,ㄴㅔㅎㅏㄴㄱㅐㅇㅔㅊㅓㄴㅇㅝㅇㅣㅁㅁㅣㄷㅏㄱㅗㄱㅐㅇㄴㅣㅁㅎㅔㅎㅔㄴㅏㅎㅏㄴㄱㅜㄱㄱㅏㅁㅕㄴㅂㅗㅈㅏㅇㅕ
160,ㄱㅏㄴㅂㅜㄴㅣㅁㅇㅘㄲㅜㅂㅘㅈㅣㄴㅉㅏ
161,ㄴㅏㄴㅈㅗㅇㅛㅇㅎㅣㄷㅡㄷㄱㅗㅅㅣㅂㄷㅏㄱㅓ
162,ㄴㅐㅂㅗㄴㄷㅣㅈㅣㅅㅏㅈㅣㄴㅊㅓㅂㅇㅡㄴㄴㅕㄴㅇㅝㄹㅇㅔㅂㅡㄹㅜㄴㅡㄱㅡㅁㅜㄴㄷㅓㅇㅔㅇㅢㅎㅐㅊㅜㄹㅍㅏㄴㄷㅚㅇㅓㅆㅇㅓㅁㅗㄷㅜㅈㅏㄹㅇㅏㄹㄱㅗㅇㅣㅆㄱㅔㅅㅈㅣ
163,ㅇㅣㄹㅓㅎㄱㅔㄱㅐㄱㅗㅅㅐㅇㅇㅡㄹㅎㅏㄴㅡㄴㄷㅔㅇㅙㅇㅝㄹㄱㅡㅂㄴㅏㄹㅇㅡㄴㅇㅏㄴㅇㅗㄴㅡㄴㄱㅓㅈㅣ
164,ㄷㅏㅅㅣ
165,ㄱㅡㄹㅓㄱㅗㅂㅗㄴㅣㅇㅣㄹㅂㅗㄴㅇㅡㄹㅗㄴㅓㅁㅇㅓㄱㅏㄱㅣㅈㅓㄴㅇㅔㅇㅣㄹㅂㅗㄴㅇㅣㄴㄱㅛㅅㅜㄴㅣㅁㅇㅣㅎㅏㄴㅂㅓㄴㅂㅗㅈㅏㄱㅗㅎㅏㅅㅕㅆㄴㅡㄴㄷㅔㅇㅡㅁㅈㅗㅇㄱㅏㅇㅎㅐㅆㅇㅡㄴㅣㅁㅔㄴㅅㅕㄴㅇㅡㄹㅗㅇㅣㅇㅑㄱㅣㅎㅐㄷㅗㄷㅚㄱㅔㅆㅈㅣ
166,ㅎㅓㄱㅅㅡㅂㅏㄹㅣㅇㅇㅔㅇㅓㅍㅏㅅㅋㅔㅇㅣㅅㅡㅇㅏㄴㄱㅏㅈㅕㅇㅘㅅㅓㅅㅜㅇㅓㅂㅅㅣㄱㅏㄴㅇㅔㅃㅓㄴㅃㅓㄴㅎㅏㄱㅔㅇㅔㅇㅓㅍㅏㅅㄲㅣㄱㅗㅇㅣㅆㅇㅡㄹㄱㅓㅅㅇㅣㄴㄱㅏㄷㅗㄹㅏㅇㅔㅁㅗㅇㅈㅜㅁㅓㄱㅇㅡㄹㅗㅇㅑㅇㅉㅗㄱㅇㅔㅎㅏㄴㅏㅆㅣㄱㅈㅟㄱㅗㅇㅣㅆㅇㅡㄹㄲㅏㅈㅗㄴㄴㅏㄱㅗㅁㅣㄴㅎㅐㅆㅇㅡㅇㄷㅔㅋㅔㅇㅣㅅㅡㄱㅏㅈㅕㅇㅗㄴㅔㅎㅏㄱㅣㄴㄴㅏㄱㅏㅌㅇㅡㄴㅊㅓㄴㅈㅐㄱㅏㄱㅡㄹㅓㄴㅅㅣㄹㅅㅜㄹㅡㄹㅎㅏㄹㅌㅓㄱㅇㅣㅇㅣㅆㄴㅏㅇㅛ
167,ㅈㅔㄷㅐㄹㅗㄱㅓㄹㄹㅣㅁㅕㄴㅈㅗㅈㄷㅚㄴㄷㅏㄴㅡㄴㅈㅓㅁㅇㅔㅅㅓㄴㅡㄴㄷㅜㄹㄷㅏㄱㅏㅌㅈㅣㅇㅏㄴㅎㅇㅡㅁ
168,ㄸㅟㅇㅓㄴㅐㄹㅣㅁㅕㄴㅅㅓㄱㅓㅇㅜㄹㄷㅗㅂㅗㄱㅗ
